timestamp,price,quantity,side
1704067200000000000,100.0849999976,108,buy
1704067200010000000,100.262653314265,200,buy
1704067200020000000,99.67906754202664,92,buy
1704067200030000000,100.50349646958635,146,buy
1704067200040000000,100.17007415023541,22,buy
1704067200050000000,100.2675910353216,87,buy
1704067200060000000,100.65768714958938,121,buy
1704067200070000000,100.11097799605784,76,sell
1704067200080000000,99.7791620053417,375,sell
1704067200090000000,99.52946515382068,61,sell
1704067200100000000,99.28091970192423,218,sell
1704067200110000000,99.05193828249713,90,sell
1704067200120000000,98.86695551178565,183,sell
1704067200130000000,99.39670274779121,307,sell
1704067200140000000,100.8392417097201,197,sell
1704067200150000000,101.12670503673282,37,sell
1704067200160000000,100.5134289284768,166,sell
1704067200170000000,100.22309085130932,200,sell
1704067200180000000,99.63367702424662,103,sell
1704067200190000000,99.33237312212195,86,sell
1704067200200000000,99.71500641816502,257,buy
1704067200210000000,99.32558557634769,47,buy
1704067200220000000,98.64437258156813,60,buy
1704067200230000000,98.22219375985212,135,buy
1704067200240000000,98.82371507741773,200,buy
1704067200250000000,99.09197825107654,74,sell
1704067200260000000,99.9294155180085,396,sell
1704067200270000000,98.63060754973553,10,sell
1704067200280000000,98.0527313062918,58,sell
1704067200290000000,98.13704067618971,61,sell
1704067200300000000,97.95488864854156,98,buy
1704067200310000000,97.75466619551179,110,buy
1704067200320000000,98.23733411753348,500,buy
1704067200330000000,98.14213039098352,18,buy
1704067200340000000,99.01937301582846,151,buy
1704067200350000000,98.7649091790815,246,buy
1704067200360000000,99.52904796546568,199,buy
1704067200370000000,99.57810636542533,44,buy
1704067200380000000,99.39933957605213,118,sell
1704067200390000000,99.37358326782153,109,sell
1704067200400000000,98.99378932850348,79,buy
1704067200410000000,98.13328692463205,270,buy
1704067200420000000,98.37581541060894,628,buy
1704067200430000000,98.4348273793501,60,buy
1704067200440000000,98.7674166672249,113,buy
1704067200450000000,99.45899893606786,28,buy
1704067200460000000,99.12306243349252,88,buy
1704067200470000000,99.50473030772079,54,buy
1704067200480000000,99.30758764636698,415,buy
1704067200490000000,99.42435911425198,417,buy
1704067200500000000,99.45510687552643,48,sell
1704067200510000000,98.97959221371713,79,sell
1704067200520000000,99.42183854368666,50,buy
1704067200530000000,99.09120528277617,126,buy
1704067200540000000,99.00195727338881,200,buy
1704067200550000000,99.19559483675435,54,sell
1704067200560000000,99.10843512490162,60,sell
1704067200570000000,99.3292944563617,409,sell
1704067200580000000,100.06918730090696,84,buy
1704067200590000000,100.19232129231393,38,buy
1704067200600000000,100.28671661742602,151,buy
1704067200610000000,100.40002180869453,45,buy
1704067200620000000,100.42524735409535,67,sell
1704067200630000000,99.7814264998738,91,sell
1704067200640000000,99.43091311320613,62,sell
1704067200650000000,99.97082931933592,283,sell
1704067200660000000,99.56470798519942,234,buy
1704067200670000000,99.16660991763871,148,buy
1704067200680000000,99.65481807102711,66,sell
1704067200690000000,99.69552057405606,57,sell
1704067200700000000,99.02722923975206,175,sell
1704067200710000000,98.58239879921074,102,sell
1704067200720000000,98.66822117783663,308,sell
1704067200730000000,98.37531587440402,115,sell
1704067200740000000,98.07558091098687,117,sell
1704067200750000000,98.35246465828955,88,sell
1704067200760000000,98.65431271226146,110,buy
1704067200770000000,98.8229967540217,104,buy
1704067200780000000,99.38024109712875,124,buy
1704067200790000000,98.7457077667435,58,buy
1704067200800000000,99.02348149436222,33,buy
1704067200810000000,99.38278077766066,42,buy
1704067200820000000,100.1126670535187,296,buy
1704067200830000000,99.94684693149324,87,buy
1704067200840000000,100.0316016949485,64,buy
1704067200850000000,101.1884328917286,203,buy
1704067200860000000,100.84366880353063,66,sell
1704067200870000000,100.51184542433629,86,sell
1704067200880000000,101.24710423741712,46,sell
1704067200890000000,100.77743619593515,171,buy
1704067200900000000,101.86372338669628,45,sell
1704067200910000000,100.67363923916353,20,sell
1704067200920000000,100.40347941109417,365,buy
1704067200930000000,100.61196030796815,66,buy
1704067200940000000,100.38790415347114,50,buy
1704067200950000000,101.21533346124963,99,sell
1704067200960000000,101.30016117422542,19,buy
1704067200970000000,100.40731095793866,232,buy
1704067200980000000,100.25922981003997,32,buy
1704067200990000000,98.60858440560052,54,buy
1704067201000000000,97.75124401415289,73,buy
1704067201010000000,97.76335479391888,60,buy
1704067201020000000,98.01148320401285,76,buy
1704067201030000000,97.69944781129509,215,sell
1704067201040000000,97.82938152640331,342,sell
1704067201050000000,98.09450344255012,460,sell
1704067201060000000,97.9756526504342,67,sell
1704067201070000000,98.11040605506497,67,sell
1704067201080000000,98.05064364242828,49,sell
1704067201090000000,97.94769045498182,42,sell
1704067201100000000,98.62731656829294,47,sell
1704067201110000000,99.16755360506443,11,sell
1704067201120000000,99.55943613458584,307,buy
1704067201130000000,99.56183482652146,17,sell
1704067201140000000,99.26947518634813,381,sell
1704067201150000000,99.23526749296305,84,sell
1704067201160000000,99.12724224386432,38,buy
1704067201170000000,99.84474280560109,15,sell
1704067201180000000,99.74829822414866,163,sell
1704067201190000000,99.9256789111676,18,sell
1704067201200000000,100.92067694574266,53,buy
1704067201210000000,100.32181467572359,239,buy
1704067201220000000,100.64646427688437,79,sell
1704067201230000000,100.577523171945,57,sell
1704067201240000000,99.4781543785962,91,sell
1704067201250000000,99.11291630974361,278,sell
1704067201260000000,99.50346700180587,60,sell
1704067201270000000,99.67229689851278,111,sell
1704067201280000000,99.98391434570138,211,sell
1704067201290000000,99.26757450906713,50,sell
1704067201300000000,99.02972152841383,54,buy
1704067201310000000,99.2865377561236,139,buy
1704067201320000000,99.20595737864026,114,buy
1704067201330000000,99.450286605136,374,buy
1704067201340000000,99.75037048487927,52,buy
1704067201350000000,100.12810863508395,62,buy
1704067201360000000,100.11424036992001,73,sell
1704067201370000000,100.15656642158149,29,sell
1704067201380000000,101.27667964692776,72,sell
1704067201390000000,102.2498547717778,245,buy
1704067201400000000,101.96836281169229,39,buy
1704067201410000000,101.35464574417435,148,buy
1704067201420000000,101.74284131132805,87,buy
1704067201430000000,101.72840974021031,51,buy
1704067201440000000,101.81685810383424,65,sell
1704067201450000000,101.00356230873453,63,buy
1704067201460000000,100.86550994926708,84,buy
1704067201470000000,99.93061639606181,91,buy
