timestamp,type,bid_price,bid_qty,ask_price,ask_qty
2025-10-15 00:00:00,QUOTE,99.984803604083,6,100.00704948728156,7
2025-10-15 00:00:01,QUOTE,99.97539464481365,9,100.01520141482008,6
2025-10-15 00:00:02,QUOTE,99.9866516175198,5,100.00373330125008,2
2025-10-15 00:00:03,QUOTE,99.9837869411304,7,100.00786560636627,4
2025-10-15 00:00:04,QUOTE,99.97824311218639,4,100.00542928629568,7
2025-10-15 00:00:05,QUOTE,99.98287213450256,2,100.00723074448085,8
2025-10-15 00:00:06,QUOTE,99.96900086001513,5,99.99762800563072,5
2025-10-15 00:00:07,QUOTE,99.96122927617002,4,99.99590981778302,2
2025-10-15 00:00:08,QUOTE,99.95491226759599,8,99.99085047505484,4
2025-10-15 00:00:09,QUOTE,99.95627027134779,5,99.9862814874079,6
2025-10-15 00:00:10,QUOTE,99.9542878693653,1,99.991213954439,2
2025-10-15 00:00:11,QUOTE,99.96450271990234,6,99.99284844635496,5
2025-10-15 00:00:12,QUOTE,99.96344359392917,2,100.01146895834073,6
2025-10-15 00:00:13,QUOTE,99.98834666826245,3,100.00403202136017,1
2025-10-15 00:00:14,QUOTE,99.97470899882347,2,100.00695244834341,8
2025-10-15 00:00:15,QUOTE,99.98138519948664,1,100.00207717976237,6
2025-10-15 00:00:16,QUOTE,99.97928872061617,9,100.00203917934003,5
2025-10-15 00:00:17,QUOTE,99.98129108698531,7,100.01079131441573,8
2025-10-15 00:00:18,QUOTE,99.97466079274932,8,100.01342259366962,9
2025-10-15 00:00:19,QUOTE,99.97368383083098,7,100.00962439812064,6
2025-10-15 00:00:20,QUOTE,99.98587940953956,9,100.01334480278476,6
2025-10-15 00:00:21,QUOTE,99.9932598975092,8,100.00526995167712,2
2025-10-15 00:00:22,QUOTE,99.98992507503945,9,100.00558348343938,9
2025-10-15 00:00:23,QUOTE,99.99144186869594,2,100.00599927419324,8
2025-10-15 00:00:24,QUOTE,99.98262916960442,4,100.00700244454228,3
2025-10-15 00:00:25,QUOTE,99.990032800619,9,100.00350612068384,8
2025-10-15 00:00:26,QUOTE,99.98261881699587,3,100.00525660508437,8
2025-10-15 00:00:27,QUOTE,99.97321885923756,5,100.01803893535958,1
2025-10-15 00:00:28,QUOTE,99.98150231623661,7,100.00808169261516,8
2025-10-15 00:00:29,QUOTE,99.97969587809239,8,100.01688202750704,3
2025-10-15 00:00:30,QUOTE,99.98352317878515,1,100.01026934755969,9
