timestamp,bid_price,ask_price,bid_volume,ask_volume
1704067200000493512,99.52311700992134,99.57037161835738,7592,1859
1704067200000535364,99.73195346443137,99.79168323747376,6672,9620
1704067200000805264,99.69250635873442,99.7432748038216,9623,9486
1704067200004626931,99.74500123489523,99.78796408319064,3883,4558
1704067200008677335,99.58218456886816,99.60550050606302,9898,3874
1704067200010287570,99.71931916454635,99.75351929856002,7751,8100
1704067200011510710,99.98242836658956,100.07301663333278,8107,8077
1704067200012576577,100.57976136825827,100.63578289673184,9296,4578
1704067200012699112,100.69292808995132,100.76750699271258,3610,4231
1704067200013446555,100.76490640816215,100.81951572008148,4286,1859
1704067200013928172,100.58868739775359,100.64808340153841,7569,7476
1704067200013928717,100.77123264271367,100.78251057202121,2479,9855
1704067200014640928,100.7411407103717,100.77187455732337,1368,4299
1704067200019539872,100.55000706634601,100.59645920460622,1685,9082
1704067200020654953,100.62776553807558,100.68842891944078,2208,6468
1704067200020665581,100.25114588300862,100.26190915989109,1705,8208
1704067200021999803,100.45201832872694,100.52706030790314,5168,5850
1704067200024403625,100.62338386359046,100.68446214185524,9467,4323
1704067200025402553,100.51998990670477,100.54651614177085,4325,715
1704067200025409824,100.27562732332393,100.2898850792227,4690,3247
1704067200026245390,100.28360551432841,100.32052611040633,2333,5964
1704067200027295677,100.14820946392811,100.18999744804336,6690,7817
1704067200028929868,100.54308165692336,100.56809975355887,4159,8365
1704067200031443140,100.51366194637737,100.5691294431432,9389,9285
1704067200033785988,101.10377147750378,101.13848046305012,2216,4993
1704067200033853603,101.17487314398092,101.20490197858301,2326,5436
1704067200037568392,101.26503184272919,101.30374829469783,9102,9223
1704067200039548283,101.0763093434688,101.17461332455686,8074,6845
1704067200039716320,100.99527792382996,101.010775253436,6042,210
1704067200040239379,101.46154444743343,101.4825463937826,8170,7991
1704067200040534501,101.51703771407549,101.56049790325767,6522,1068
1704067200042056894,101.41772821577172,101.50232210613927,9998,244
1704067200046221702,101.23152052906258,101.29141811351647,8584,2880
1704067200046561743,101.00535018393904,101.02523877459839,1643,8622
1704067200049890935,101.22653556975658,101.30244983205037,6127,9186
1704067200050482897,101.66755117323468,101.71222385325775,9238,882
1704067200051564447,101.44840798551678,101.51566948287476,7539,2515
1704067200052423158,101.11987355396901,101.16280953863084,8666,9417
1704067200056707999,100.97171984441536,101.05903029178015,4714,9083
1704067200058820751,101.41080947347766,101.45588017913934,3906,9090
1704067200060529600,101.40731612888742,101.4379407654253,9741,751
1704067200060569134,101.06836209865378,101.16641440096345,6804,4447
1704067200060842597,101.25461733752762,101.29564472420707,8065,1983
1704067200062024196,100.4766472602797,100.51722689449882,7505,6628
1704067200064056354,100.5758329567581,100.65361747755877,8113,6404
1704067200064646929,100.771299507335,100.85862620292129,2863,1876
1704067200064657598,100.75450730419321,100.79889693327316,7074,657
1704067200064847091,99.94808518303414,100.00563613066738,4122,2740
1704067200067260046,100.04873242644611,100.07572336617231,3442,4251
1704067200067379505,100.13045031874469,100.21920937911528,872,2196
1704067200067436445,100.20435412033551,100.26827776739471,4065,9502
1704067200068458600,100.4625907616905,100.50040512444849,4527,2108
1704067200069569328,100.93442572351938,100.98898289659218,8462,3590
1704067200070521141,100.9411072066414,101.03639786492495,307,3491
1704067200070698549,100.86196356401848,100.89767512823084,9702,1954
1704067200071739258,101.22412570292819,101.23473923694674,2493,7158
1704067200072327844,101.09161997030928,101.1874959392129,7520,2041
1704067200072666456,101.11350170920782,101.19519786075811,4430,615
